Network_name;ACCESS1;bcc-csm1-1;BNU-ESM;CanESM2;CCSM4;CESM1-BGC;CESM1-CAM5;CMCC-CM;CMCC-CMS;CNRM-CM5;CSIRO-Mk3-6-0;FGOALS-g2;FIO-ESM;GFDL-CM3;GFDL-ESM2G;GFDL-ESM2M;GISS-E2-H;GISS-E2-H-CC;GISS-E2-R;GISS-E2-R-CC;HadGEM2-AO;HadGEM2-CC;inmcm4;IPSL-CM5A-LR;IPSL-CM5A-MR;MIROC-ESM;MIROC-ESM-CHEM;MIROC5;MPI-ESM-LR;MPI-ESM-MR;MRI-CGCM3;NorESM1-M
1_alarcon_co.csv;0.1125;0.0775;0.0535;0.097;0.033;0.0595;0.0785;0.0795;0.0695;0.0555;0.091;0.057;0.0435;0.078;0.064;0.0705;0.0715;0.066;0.0675;0.0525;0.126;0.077;0.0535;0.0815;0.0985;0.074;0.093;0.065;0.1015;0.0565;0.0615;0.047
2_alarcon_ca.csv;0.1616;0.2816;0.2792;0.316;0.2478;0.1728;0.3128;0.2946;0.2848;0.3308;0.2948;0.2646;0.2652;0.2706;0.2576;0.2672;0.2392;0.2356;0.236;0.2484;0.1914;0.2456;0.198;0.2724;0.2524;0.309;0.3206;0.2432;0.253;0.332;0.177;0.3118
4_Ortiz-Pulido_pino-ensino.csv;0.327473684;0.324105263;0.206157895;0.257368421;0.214526316;0.297789474;0.209052632;0.287789474;0.213210526;0.236210526;0.233;0.312947368;0.212526316;0.241473684;0.260052632;0.279210526;0.258526316;0.220210526;0.233894737;0.224105263;0.287894737;0.263157895;0.236210526;0.260631579;0.273157895;0.302736842;0.287473684;0.249263158;0.276;0.244578947;0.300842105;0.231105263
5_Ortiz-Pulido_bosques.csv;0.335;0.324526316;0.203789474;0.256578947;0.217526316;0.291578947;0.201421053;0.288105263;0.214368421;0.231789474;0.231684211;0.312368421;0.214578947;0.247315789;0.253842105;0.284157895;0.262789474;0.227105263;0.231631579;0.229947368;0.290894737;0.259368421;0.233578947;0.257842105;0.269052632;0.301947368;0.285947368;0.255210526;0.278210526;0.242210526;0.293631579;0.224842105
6_Ortiz-Pulido_matorral.csv;0.284238095;0.256666667;0.17052381;0.236857143;0.192619048;0.26252381;0.171380952;0.25852381;0.184714286;0.209285714;0.198142857;0.27;0.186904762;0.212571429;0.22952381;0.250333333;0.237714286;0.199666667;0.214142857;0.203619048;0.256285714;0.21952381;0.215857143;0.236142857;0.24847619;0.26947619;0.25347619;0.225666667;0.244809524;0.209904762;0.265142857;0.203761905
7_Ortiz-Pulido_pachuca.csv;0.218952381;0.186809524;0.106238095;0.159238095;0.126428571;0.172904762;0.112904762;0.202666667;0.114428571;0.14147619;0.120047619;0.201952381;0.127047619;0.140142857;0.132571429;0.17452381;0.183809524;0.13847619;0.152571429;0.129238095;0.148380952;0.144714286;0.139809524;0.142095238;0.155238095;0.215333333;0.145;0.125190476;0.148428571;0.134285714;0.174904762;0.118714286
8_arizmendi.csv;0.079588235;0.092352941;0.120352941;0.051235294;0.101529412;0.064294118;0.080235294;0.114588235;0.163705882;0.188705882;0.073529412;0.065529412;0.140294118;0.102764706;0.069294118;0.042882353;0.126823529;0.142823529;0.134294118;0.141117647;0.05;0.064823529;0.174764706;0.050823529;0.024588235;0.115941176;0.062882353;0.032705882;0.147529412;0.108294118;0.094235294;0.076588235
9_ornelas.csv;0.318033333;0.218633333;0.150633333;0.2141;0.182333333;0.2327;0.1935;0.269066667;0.171233333;0.208233333;0.1765;0.263266667;0.1849;0.226633333;0.172333333;0.2276;0.249133333;0.216233333;0.200633333;0.200066667;0.2393;0.213633333;0.1565;0.1246;0.141033333;0.307233333;0.210766667;0.173233333;0.2287;0.215433333;0.2457;0.181466667
10_lara3.csv;0.259870968;0.257870968;0.269935484;0.28683871;0.295580645;0.290967742;0.304580645;0.271419355;0.278580645;0.282806452;0.27116129;0.269580645;0.275580645;0.300258065;0.26816129;0.282967742;0.272354839;0.280645161;0.28616129;0.284322581;0.308322581;0.303354839;0.259096774;0.221548387;0.238935484;0.232580645;0.322580645;0.280677419;0.292677419;0.290870968;0.280451613;0.266677419
11_lara2.csv;0.239214286;0.201821429;0.196285714;0.220642857;0.20875;0.222821429;0.203785714;0.221035714;0.200142857;0.208892857;0.1985;0.217321429;0.203178571;0.219285714;0.203;0.21275;0.215357143;0.215857143;0.215035714;0.208142857;0.220285714;0.210428571;0.20575;0.199071429;0.201892857;0.21825;0.212321429;0.201571429;0.2175;0.213678571;0.221535714;0.200178571
12_lara1.csv;0.32385;0.2919;0.3199;0.3142;0.3291;0.32745;0.32615;0.2929;0.3163;0.30765;0.3153;0.29775;0.3117;0.3318;0.3055;0.2866;0.28315;0.30645;0.2979;0.30555;0.32985;0.33615;0.30075;0.2689;0.2716;0.307;0.3396;0.32185;0.3243;0.32805;0.3176;0.3031
20_snow72.csv;0.497965517;0.516241379;0.43137931;0.45162069;0.438482759;0.391103448;0.464758621;0.404034483;0.39837931;0.562137931;0.48262069;0.547034483;0.489896552;0.534655172;0.50037931;0.545931034;0.591103448;0.58837931;0.596344828;0.59062069;0.445862069;0.386;0.497413793;0.412517241;0.475172414;0.590724138;0.483862069;0.487448276;0.387034483;0.392344828;0.516137931;0.506862069
