Species;Closeness centrality;Betweenness centrality;Network_name
Selasphorus platycercus;1.698630137;0;1_alarcon_co.csv
Selasphorus rufus;0.301369863;0;1_alarcon_co.csv
Selasphorus rufus;1.465437788;0;2_alarcon_ca.csv
Selasphorus calliope;0.534562212;0;2_alarcon_ca.csv
Eugenes fulgens;1.25;0;4_Ortiz-Pulido_pino-ensino.csv
Basilinna leucotis;0.75;0;4_Ortiz-Pulido_pino-ensino.csv
Eugenes fulgens;0.171428571;0;5_Ortiz-Pulido_bosques.csv
Basilinna leucotis;0.534857143;0;5_Ortiz-Pulido_bosques.csv
Lampornis clemenciae;0.587755102;1;5_Ortiz-Pulido_bosques.csv
Amazilia violiceps;0.060810811;0;6_Ortiz-Pulido_matorral.csv
Calothorax lucifer;0.107142857;0;6_Ortiz-Pulido_matorral.csv
Cynanthus latirostris;0.118421053;1;6_Ortiz-Pulido_matorral.csv
Calothorax lucifer;0.211115863;0;7_Ortiz-Pulido_pachuca.csv
Colibri thalassinus;0.085117882;0;7_Ortiz-Pulido_pachuca.csv
Cynanthus latirostris;0.125729681;0;7_Ortiz-Pulido_pachuca.csv
Eugenes fulgens;0.125729681;0;7_Ortiz-Pulido_pachuca.csv
Basilinna leucotis;0.25892903;1;7_Ortiz-Pulido_pachuca.csv
Lampornis clemenciae;0.128244275;0;7_Ortiz-Pulido_pachuca.csv
Amazilia rutila;0.787831565;1;8_arizmendi.csv
Chlorostilbon auriceps;0.246384163;0;8_arizmendi.csv
Cynanthus latirostris;0.20687158;0;8_arizmendi.csv
Heliomaster constantii;0.161698903;0;8_arizmendi.csv
Amazilia candida;0.110506216;0;9_ornelas.csv
Amazilia cyanocephala;0.138034019;0.52173913;9_ornelas.csv
Amazilia yucatanensis;0.075607299;0;9_ornelas.csv
Anthracothorax prevostii;0.058160995;0;9_ornelas.csv
Atthis heloisa;0.137631641;0.173913043;9_ornelas.csv
Campylopterus curvipennis;0.06172199;0;9_ornelas.csv
Campylopterus hemileucurus;0.054498097;0;9_ornelas.csv
Colibri thalassinus;0.101407851;0;9_ornelas.csv
Eugenes fulgens;0.068824916;0;9_ornelas.csv
Lampornis amethystinus;0.056036745;0;9_ornelas.csv
Lamprolaima rhami;0.04894583;0;9_ornelas.csv
Amazilia beryllina;0.102192962;0.304347826;9_ornelas.csv
Amazilia candida;0.097669256;0;10_lara3.csv
Amazilia cyanocephala;0.095609965;0;10_lara3.csv
Amazilia yucatanensis;0.077107308;0;10_lara3.csv
Anthracothorax prevostii;0.109877913;0;10_lara3.csv
Atthis heloisa;0.109877913;0;10_lara3.csv
Campylopterus curvipennis;0.103304021;0;10_lara3.csv
Campylopterus hemileucurus;0.085460599;0;10_lara3.csv
Colibri thalassinus;0.073251942;0;10_lara3.csv
Eugenes fulgens;0.097669256;0;10_lara3.csv
Lampornis amethystinus;0.140623275;0;10_lara3.csv
Amazilia beryllina;0.097669256;0;10_lara3.csv
Calothorax lucifer;0.069570388;0;11_lara2.csv
Cynanthus latirostris;0.2382134;0.5;11_lara2.csv
Eugenes fulgens;0.202098717;0;11_lara2.csv
Basilinna leucotis;0.266678507;0.5;11_lara2.csv
Amazilia beryllina;0.140762463;0;11_lara2.csv
Calothorax lucifer;0.015801695;0;12_lara1.csv
Colibri thalassinus;0.182454207;0;12_lara1.csv
Eugenes fulgens;0.196634754;0;12_lara1.csv
Basilinna leucotis;0.28461721;1;12_lara1.csv
Lampornis amethystinus;0.008104707;0;12_lara1.csv
Lampornis clemenciae;0.189844245;0;12_lara1.csv
Amazilia brevirostris;0.110978288;0.014705882;20_snow72.csv
Amazilia tobaci;0.180136502;0.838235294;20_snow72.csv
Anthracothorax nigricollis;0.047438799;0;20_snow72.csv
Chlorestes notata;0.103431474;0;20_snow72.csv
Chrysolampis mosquitus;0.046701288;0;20_snow72.csv
Florisuga mellivora;0.04343894;0;20_snow72.csv
Glaucis hirsutus;0.165368181;0;20_snow72.csv
Phaethornis guy;0.159852829;0;20_snow72.csv
Phaethornis longuemareus;0.175176122;0.147058824;20_snow72.csv
Amazilia tzacatl;0.122540322;0.323529412;21_mang50.csv
Florisuga mellivora;NA;0;21_mang50.csv
Klais guimeti;0.044503757;0;21_mang50.csv
Phaeochroa cuvierii;0.006342205;0;21_mang50.csv
Phaethornis longirostris;0.044073193;0;21_mang50.csv
Phaethornis striigularis;0.105679536;0.294117647;21_mang50.csv
Thalurania colombica;0.106109542;0.382352941;21_mang50.csv
Threnetes ruckeri;0.006439517;0;21_mang50.csv
Doryfera ludovicae;0.114543652;0;22_mang1000.csv
Eupherusa nigriventris;0.107071261;0.205128205;22_mang1000.csv
Eutoxeres aquila;NA;0;22_mang1000.csv
Heliodoxa jacula;0.016070564;0;22_mang1000.csv
Lampornis calolaemus;0.030135633;0;22_mang1000.csv
Lampornis hemileucus;0.102574729;0.256410256;22_mang1000.csv
Phaethornis guy;0.177234679;0.538461538;22_mang1000.csv
Phaethornis striigularis;0.043064074;0;22_mang1000.csv
Campylopterus hemileucurus;0.054342375;0;23_mang2000.csv
Doryfera ludovicae;0.033015225;0;23_mang2000.csv
Eugenes spectabilis;0.006973904;0;23_mang2000.csv
Heliodoxa jacula;0.021123944;0;23_mang2000.csv
Lampornis calolaemus;0.079297126;0.492957746;23_mang2000.csv
Panterpe insignis;0.057797918;0.14084507;23_mang2000.csv
Phaethornis guy;0.045297062;0.169014085;23_mang2000.csv
Selasphorus flammula;0.04943595;0.197183099;23_mang2000.csv
Selasphorus scintilla;0.016981895;0;23_mang2000.csv
Colibri cyanotus;0.252686123;0;24_wolf1.csv
Eugenes spectabilis;0.194650828;0;24_wolf1.csv
Panterpe insignis;0.619998781;0.6;24_wolf1.csv
Selasphorus flammula;0.362148185;0.4;24_wolf1.csv
Colibri cyanotus;0.044722719;0;25_wolf2.csv
Eugenes spectabilis;0.050403226;0;25_wolf2.csv
Lampornis cinereicauda;0.061332327;0;25_wolf2.csv
Panterpe insignis;0.071633238;0.625;25_wolf2.csv
Selasphorus flammula;0.063938619;0.375;25_wolf2.csv
Amazilia cyanifrons;0.107364675;0;26_snow803.csv
Amazilia franciae;0.112782462;0.588235294;26_snow803.csv
Amazilia tzacatl;0.137521188;0.411764706;26_snow803.csv
Anthracothorax nigricollis;0.079732202;0;26_snow803.csv
Chlorostilbon gibsoni;0.093746089;0;26_snow803.csv
Phaethornis guy;0.041041653;0;26_snow803.csv
Adelomyia melanogenys;0.093724947;0.118811881;27_snow802.csv
Aglaiocercus kingii;0.024108463;0;27_snow802.csv
Boissonneaua flavescens;0.103030415;0.069306931;27_snow802.csv
Chaetocercus mulsant;0.016528791;0;27_snow802.csv
Chlorostilbon poortmani;0.076303465;0;27_snow802.csv
Coeligena prunellei;0.061274911;0.158415842;27_snow802.csv
Coeligena torquata;0.031843058;0;27_snow802.csv
Colibri coruscans;0.145082751;0.02970297;27_snow802.csv
Colibri cyanotus;0.13898889;0.04950495;27_snow802.csv
Doryfera ludovicae;0.044065789;0.01980198;27_snow802.csv
Heliangelus clarisse;0.129739264;0.554455446;27_snow802.csv
Ocreatus underwoodii;0.042643068;0;27_snow802.csv
Amazilia saucerottei;0.224019732;0.285714286;28_Quindio_2_Uni.csv
Amazilia tzacatl;0.238140101;0.714285714;28_Quindio_2_Uni.csv
Anthracothorax nigricollis;0.160747149;0;28_Quindio_2_Uni.csv
Chlorostilbon melanorhynchus;0.158162123;0;28_Quindio_2_Uni.csv
Heliomaster longirostris;0.133614627;0;28_Quindio_2_Uni.csv
Phaethornis guy;0.081998816;0;28_Quindio_2_Uni.csv
Chlorostilbon poortmani;0.01581066;0;29_snow801.csv
Coeligena helianthea;0.121315691;0;29_snow801.csv
Ensifera ensifera;NA;0;29_snow801.csv
Eriocnemis cupreoventris;0.136968776;0;29_snow801.csv
Eriocnemis vestita;0.091091762;0;29_snow801.csv
Heliangelus clarisse;0.139316812;0;29_snow801.csv
Lafresnaya lafresnayi;0.156504881;0;29_snow801.csv
Lesbia nuna;0.087206541;0;29_snow801.csv
Metallura tyrianthina;0.410620559;1;29_snow801.csv
Adelomyia melanogenys;0.01832315;0;30_Quindio_1_coffee.csv
Aglaiocercus kingii;0.08325567;0;30_Quindio_1_coffee.csv
Amazilia franciae;0.042077173;0;30_Quindio_1_coffee.csv
Amazilia saucerottei;0.179909771;0.217391304;30_Quindio_1_coffee.csv
Amazilia tzacatl;0.060506725;0;30_Quindio_1_coffee.csv
Anthracothorax nigricollis;0.044753696;0;30_Quindio_1_coffee.csv
Boissonneaua flavescens;0.136582043;0.144927536;30_Quindio_1_coffee.csv
Coeligena coeligena;0.03365937;0;30_Quindio_1_coffee.csv
Colibri coruscans;0.276828943;0.637681159;30_Quindio_1_coffee.csv
Doryfera ludovicae;0.011625101;0;30_Quindio_1_coffee.csv
Florisuga mellivora;0.024614027;0;30_Quindio_1_coffee.csv
Ocreatus underwoodii;0.198781422;0;30_Quindio_1_coffee.csv
Phaethornis guy;0.019389452;0;30_Quindio_1_coffee.csv
Adelomyia melanogenys;0.021645022;0;31_Charguayaco.csv
Boissonneaua flavescens;0.021551724;0;31_Charguayaco.csv
Coeligena torquata;0.149253731;0.361702128;31_Charguayaco.csv
Eriocnemis mirabilis;0.159680639;0.510638298;31_Charguayaco.csv
Haplophaedia aureliae;0.09163803;0;31_Charguayaco.csv
Heliangelus exortis;0.0220022;0;31_Charguayaco.csv
Metallura tyrianthina;0.117474302;0.127659574;31_Charguayaco.csv
Phaethornis syrmatophorus;0.037735849;0;31_Charguayaco.csv
Adelomyia melanogenys;0.017631579;0;32_Veinte de Julio.csv
Aglaiocercus coelestis;0.095032908;0.238095238;32_Veinte de Julio.csv
Aglaiocercus kingii;0.018660196;0;32_Veinte de Julio.csv
Boissonneaua flavescens;0.079132973;0.19047619;32_Veinte de Julio.csv
Calliphlox mitchellii;0.03138758;0;32_Veinte de Julio.csv
Coeligena torquata;0.083723242;0.104761905;32_Veinte de Julio.csv
Coeligena wilsoni;0.047865723;0;32_Veinte de Julio.csv
Doryfera ludovicae;0.030972826;0;32_Veinte de Julio.csv
Ensifera ensifera;0.018660196;0;32_Veinte de Julio.csv
Eriocnemis mirabilis;0.040857551;0;32_Veinte de Julio.csv
Haplophaedia aureliae;0.104820189;0.428571429;32_Veinte de Julio.csv
Heliangelus exortis;0.064642035;0;32_Veinte de Julio.csv
Metallura tyrianthina;0.080832177;0.038095238;32_Veinte de Julio.csv
Ocreatus underwoodii;0.017631579;0;32_Veinte de Julio.csv
Aglaeactis cupripennis;0.029091448;0.230769231;33_gutierrez.csv
Chalcostigma herrani;0.023226999;0;33_gutierrez.csv
Coeligena lutetiae;0.010717562;0;33_gutierrez.csv
Ensifera ensifera;0.011871609;0;33_gutierrez.csv
Eriocnemis derbyi;0.025506767;0;33_gutierrez.csv
Eriocnemis mosquera;0.029381882;0.769230769;33_gutierrez.csv
Lafresnaya lafresnayi;0.022396551;0;33_gutierrez.csv
Metallura tyrianthina;0.025746015;0;33_gutierrez.csv
Pterophanes cyanopterus;0.027412749;0;33_gutierrez.csv
Phaethornis bourcieri;0.084252535;0.761904762;34_Lasprilla .csv
Phaethornis malaris;0.079736056;0.238095238;34_Lasprilla .csv
Phaethornis ruber;0.047974119;0;34_Lasprilla .csv
Amazilia versicolor;0.004089218;0;34_Lasprilla .csv
Thalurania furcata;0.072355768;0;34_Lasprilla .csv
Chlorostilbon olivaresi;0.064073007;0;34_Lasprilla .csv
Topaza pyra;0.003988684;0;34_Lasprilla .csv
Florisuga mellivora;0.003988684;0;34_Lasprilla .csv
Adelomyia melanogenys;0.001726539;0;35_walther&brieschke.csv
Aglaiocercus coelestis;0.135838444;0;35_walther&brieschke.csv
Amazilia franciae;0.04077009;0;35_walther&brieschke.csv
Amazilia tzacatl;0.154675564;0.164705882;35_walther&brieschke.csv
Boissonneaua flavescens;0.00173337;0;35_walther&brieschke.csv
Boissonneaua jardini;0.060086122;0;35_walther&brieschke.csv
Calliphlox mitchellii;0.023265531;0;35_walther&brieschke.csv
Coeligena wilsoni;0.099743078;0.276470588;35_walther&brieschke.csv
Colibri coruscans;0.032433101;0;35_walther&brieschke.csv
Colibri delphinae;0.182796424;0.117647059;35_walther&brieschke.csv
Colibri cyanotus;0.001739523;0;35_walther&brieschke.csv
Doryfera ludovicae;0.038067116;0;35_walther&brieschke.csv
Florisuga mellivora;0.00087048;0;35_walther&brieschke.csv
Heliodoxa imperatrix;0.004286864;0;35_walther&brieschke.csv
Heliodoxa rubinoides;0.031628132;0;35_walther&brieschke.csv
Ocreatus underwoodii;0.155847113;0.441176471;35_walther&brieschke.csv
Phaethornis syrmatophorus;0.029123635;0;35_walther&brieschke.csv
Thalurania colombica;0.002607132;0;35_walther&brieschke.csv
Urosticte benjamini;0.059626915;0;35_walther&brieschke.csv
Chaetocercus mulsant;0.004129601;0;36_Boris_shrub.csv
Coeligena iris;0.0109398;0.165289256;36_Boris_shrub.csv
Colibri coruscans;0.009549729;0;36_Boris_shrub.csv
Ensifera ensifera;0.003153382;0;36_Boris_shrub.csv
Eriocnemis luciani;0.016076555;0.388429752;36_Boris_shrub.csv
Heliangelus viola;0.00717683;0;36_Boris_shrub.csv
Lafresnaya lafresnayi;0.014014898;0;36_Boris_shrub.csv
Lesbia victoriae;0.001633154;0;36_Boris_shrub.csv
Metallura baroni;0.008965823;0;36_Boris_shrub.csv
Metallura tyrianthina;0.015878015;0.446280992;36_Boris_shrub.csv
Pterophanes cyanopterus;0.013864516;0;36_Boris_shrub.csv
Ramphomicron microrhynchum;0.004143887;0;36_Boris_shrub.csv
Coeligena iris;0.154155475;0;37_Boris_forest.csv
Colibri coruscans;0.097088618;0;37_Boris_forest.csv
Ensifera ensifera;NA;0;37_Boris_forest.csv
Eriocnemis luciani;0.11126285;0;37_Boris_forest.csv
Heliangelus viola;0.11313074;0;37_Boris_forest.csv
Lafresnaya lafresnayi;0.223485733;0;37_Boris_forest.csv
Metallura tyrianthina;0.352627319;1;37_Boris_forest.csv
Pterophanes cyanopterus;0.06566377;0;37_Boris_forest.csv
Aglaeactis cupripennis;0.054868148;0.318181818;38_Boris_cattle.csv
Coeligena iris;0.035012202;0;38_Boris_cattle.csv
Colibri coruscans;0.007697256;0;38_Boris_cattle.csv
Eriocnemis luciani;0.047142215;0.318181818;38_Boris_cattle.csv
Heliangelus viola;0.007438085;0;38_Boris_cattle.csv
Lafresnaya lafresnayi;0.005371246;0;38_Boris_cattle.csv
Lesbia nuna;0.002686318;0;38_Boris_cattle.csv
Metallura tyrianthina;0.053393453;0.363636364;38_Boris_cattle.csv
Pterophanes cyanopterus;0.005143413;0;38_Boris_cattle.csv
Glaucis hirsutus;0.033940318;0.36;39_Cotton.csv
Threnetes leucurus;0.010995368;0;39_Cotton.csv
Phaethornis superciliosus;0.028433118;0.01;39_Cotton.csv
Phaethornis hispidus;0.027307494;0;39_Cotton.csv
Phaethornis bourcieri;0.024007154;0;39_Cotton.csv
Phaethornis ruber;0.0062674;0;39_Cotton.csv
Campylopterus largipennis;0.021023665;0;39_Cotton.csv
Florisuga mellivora;0.034660574;0;39_Cotton.csv
Anthracothorax nigricollis;0.02926598;0;39_Cotton.csv
Chlorestes notata;0.014672205;0;39_Cotton.csv
Chlorostilbon mellisugus;0.016276528;0;39_Cotton.csv
Thalurania furcata;0.028890308;0.175;39_Cotton.csv
