Species;Species strength;Number of efective partners;Network_name
Amazilia versicolor;0.171641791;1;71_kohler3.csv
Clytolaema rubricauda;2.058093755;1.408672458;71_kohler3.csv
Stephanoxis loddigesii;1.573450842;2.381595605;71_kohler3.csv
Thalurania glaucopis;3.196813612;2.391863675;71_kohler3.csv
Amazilia versicolor;0.4;1;72_kohler2.csv
Clytolaema rubricauda;3.510391598;3.091460588;72_kohler2.csv
Phaethornis eurynome;3.408163265;2.913265585;72_kohler2.csv
Thalurania glaucopis;2.681445137;2.690805357;72_kohler2.csv
Amazilia fimbriata;1.333333333;1.910656001;73_kohler1.csv
Amazilia versicolor;1.066666667;1.889881575;73_kohler1.csv
Clytolaema rubricauda;2.39947212;1.277901686;73_kohler1.csv
Phaethornis eurynome;6.152030812;4.204370258;73_kohler1.csv
Ramphodon naevius;1.111111111;2;73_kohler1.csv
Thalurania glaucopis;5.937385957;5.845394371;73_kohler1.csv
Florisuga fusca;0.138690476;2.871745887;74_bugoni.csv
Anthracothorax nigricollis;0.658333333;2.871745887;74_bugoni.csv
Stephanoxis loddigesii;0.685527544;2.811061174;74_bugoni.csv
Chlorostilbon lucidus;0.280392157;1.203107026;74_bugoni.csv
Hylocharis chrysura;13.42977358;8.201366539;74_bugoni.csv
Leucochloris albicollis;0.527637722;3;74_bugoni.csv
Thalurania glaucopis;0.279645191;1.744812157;74_bugoni.csv
Ocreatus underwoodii;1.032482993;4.107212756;75_Bombuscaro_JS.csv
Phlogophilus hemileucurus;5.521683673;4.484508696;75_Bombuscaro_JS.csv
Thalurania furcata;2.124293848;4.322628485;75_Bombuscaro_JS.csv
Doryfera ludovicae;2.465315073;3.491073845;75_Bombuscaro_JS.csv
Phaethornis guy;1.675970789;3.210895689;75_Bombuscaro_JS.csv
Heliodoxa leadbeateri;0.180253623;1.332205691;75_Bombuscaro_JS.csv
Eutoxeres aquila;2;1.384145488;75_Bombuscaro_JS.csv
Coeligena lutetiae;5.883882784;5.367661413;76_Cajanuma_JS.csv
Boissonneaua matthewsii;0.172268908;2;76_Cajanuma_JS.csv
Coeligena torquata;0.178846154;1.889881575;76_Cajanuma_JS.csv
Eriocnemis vestita;1.508578431;4.382014068;76_Cajanuma_JS.csv
Doryfera ludovicae;0.195833333;1.889881575;76_Cajanuma_JS.csv
Heliangelus micraster;5.510864855;8.508477078;76_Cajanuma_JS.csv
Lafresnaya lafresnayi;1.831277672;2.556285526;76_Cajanuma_JS.csv
Metallura tyrianthina;1.718447863;4.452181247;76_Cajanuma_JS.csv
Heliangelus amethysticollis;0.59610984;2.871745887;77_ECSF_JS.csv
Ocreatus underwoodii;0.239130435;1;77_ECSF_JS.csv
Coeligena coeligena;6.288931416;7.987969953;77_ECSF_JS.csv
Coeligena torquata;1.106837607;2.460232976;77_ECSF_JS.csv
Doryfera ludovicae;0.413245758;2.336573541;77_ECSF_JS.csv
Colibri cyanotus;0.173913043;1;77_ECSF_JS.csv
Haplophaedia aureliae;0.538345865;2.704517796;77_ECSF_JS.csv
Adelomyia melanogenys;2.943486036;4.833032546;77_ECSF_JS.csv
Phaethornis syrmatophorus;0.7;1;77_ECSF_JS.csv
Aglaeactis cupripennis;0.93707483;4;78_MatricesNoRobbers_OscarGonzalez.csv
Coeligena torquata;0.353741497;2;78_MatricesNoRobbers_OscarGonzalez.csv
Coeligena violifer;1.37414966;2.941713421;78_MatricesNoRobbers_OscarGonzalez.csv
Ensifera ensifera;0.040816327;1;78_MatricesNoRobbers_OscarGonzalez.csv
Heliangelus amethysticollis;0.5;1;78_MatricesNoRobbers_OscarGonzalez.csv
Lafresnaya lafresnayi;0.5;1;78_MatricesNoRobbers_OscarGonzalez.csv
Lesbia victoriae;0.040816327;1;78_MatricesNoRobbers_OscarGonzalez.csv
Metallura theresiae;18.88131313;11.99247944;78_MatricesNoRobbers_OscarGonzalez.csv
Metallura tyrianthina;0.361111111;2;78_MatricesNoRobbers_OscarGonzalez.csv
Patagona gigas;0.394557823;1.754765351;78_MatricesNoRobbers_OscarGonzalez.csv
Pterophanes cyanopterus;2.275510204;1.549143687;78_MatricesNoRobbers_OscarGonzalez.csv
Ramphomicron microrhynchum;0.340909091;2;78_MatricesNoRobbers_OscarGonzalez.csv
Cynanthus latirostris;3.828545562;4.303430033;79_patinho.bosque.csv
Amazilia violiceps;1.479342419;2.505865395;79_patinho.bosque.csv
Calothorax lucifer;0.257937222;2.715378908;79_patinho.bosque.csv
Atthis heloisa;0.105263158;1;79_patinho.bosque.csv
Basilinna leucotis;0.032265607;1.889881575;79_patinho.bosque.csv
Eugenes fulgens;0.173619502;2.217347452;79_patinho.bosque.csv
Lampornis clemenciae;0.123026531;2.336573541;79_patinho.bosque.csv
Cynanthus latirostris;4.949759393;5.176724749;80_patinho.matorral.csv
Amazilia violiceps;0.80385208;2.295633506;80_patinho.matorral.csv
Calothorax lucifer;0.655028249;2.90937565;80_patinho.matorral.csv
Atthis heloisa;0.673846154;2.871745887;80_patinho.matorral.csv
Basilinna leucotis;0.866666667;1.356131413;80_patinho.matorral.csv
Eugenes fulgens;0.050847458;1;80_patinho.matorral.csv
Aglaiocercus coelestis;2.375338601;5.735088372;81_weinetein low.csv
Amazilia franciae;0.244783905;1.987666975;81_weinetein low.csv
Amazilia tzacatl;0.053030303;2;81_weinetein low.csv
Coeligena torquata;0.083333333;1;81_weinetein low.csv
Coeligena wilsoni;2.538851427;7.40039923;81_weinetein low.csv
Florisuga mellivora;0.011363636;1;81_weinetein low.csv
Heliodoxa jacula;1.716393443;4;81_weinetein low.csv
Ocreatus underwoodii;2.388738492;4.00371628;81_weinetein low.csv
Phaethornis striigularis;7.19477204;9.302546662;81_weinetein low.csv
Phaethornis syrmatophorus;4.929427003;10.98100422;81_weinetein low.csv
Phaethornis yaruqui;4.53735483;9.218173528;81_weinetein low.csv
Schistes albogularis;1.221896956;3.06100513;81_weinetein low.csv
Thalurania colombica;1.109413616;4.82160892;81_weinetein low.csv
Urosticte benjamini;0.595302416;4.349808932;81_weinetein low.csv
Heliangelus strophianus;1.758322121;9.28921332;82_weinstein high.csv
Adelomyia melanogenys;2.310320039;11.79892843;82_weinstein high.csv
Aglaiocercus coelestis;15.27263791;18.61690165;82_weinstein high.csv
Coeligena torquata;2.31512704;9.373404819;82_weinstein high.csv
Coeligena wilsoni;9.796168367;18.66639514;82_weinstein high.csv
Phaethornis syrmatophorus;10.6322436;12.21962734;82_weinstein high.csv
Heliodoxa jacula;0.120602031;5;82_weinstein high.csv
Doryfera ludovicae;0.662937186;2.052508378;82_weinstein high.csv
Boissonneaua flavescens;0.737261903;2.960114767;82_weinstein high.csv
Ocreatus underwoodii;1.825549788;4.222957663;82_weinstein high.csv
Heliodoxa rubinoides;1.003884358;7.326766892;82_weinstein high.csv
Colibri coruscans;0.701357466;1.796701742;82_weinstein high.csv
Urosticte benjamini;0.276923077;2.749459274;82_weinstein high.csv
Florisuga mellivora;0.058823529;1;82_weinstein high.csv
Phaethornis striigularis;0.113888889;2;82_weinstein high.csv
Heliodoxa imperatrix;0.012145749;1;82_weinstein high.csv
Amazilia franciae;0.004048583;1;82_weinstein high.csv
Schistes albogularis;0.235258359;2.749459274;82_weinstein high.csv
Haplophaedia lugens;1.1375;1.822421431;82_weinstein high.csv
Phaethornis yaruqui;0.025;1;82_weinstein high.csv
Adelomyia melanogenys;2.753754121;11.57720692;83_Cloud forest Oscar Marin.csv
Aglaiocercus kingii;5.663215317;18.43924557;83_Cloud forest Oscar Marin.csv
Chaetocercus mulsant;1.395802514;10.16716441;83_Cloud forest Oscar Marin.csv
Coeligena coeligena;6.657608412;20.71165905;83_Cloud forest Oscar Marin.csv
Coeligena torquata;5.105868206;16.60493969;83_Cloud forest Oscar Marin.csv
Colibri cyanotus;1.510292357;8.611347713;83_Cloud forest Oscar Marin.csv
Colibri coruscans;1.764080497;8.839325856;83_Cloud forest Oscar Marin.csv
Doryfera ludovicae;1.146732748;9.221406759;83_Cloud forest Oscar Marin.csv
Eutoxeres aquila;1.350075415;3.250011455;83_Cloud forest Oscar Marin.csv
Haplophaedia aureliae;1.947915549;9.673501032;83_Cloud forest Oscar Marin.csv
Heliangelus exortis;3.988988334;14.94549908;83_Cloud forest Oscar Marin.csv
Heliodoxa rubinoides;1.011267587;10.0854913;83_Cloud forest Oscar Marin.csv
Lafresnaya lafresnayi;0.855779672;10.75920955;83_Cloud forest Oscar Marin.csv
Ocreatus underwoodii;3.211770392;12.5777378;83_Cloud forest Oscar Marin.csv
Phaethornis syrmatophorus;7.636848878;13.44059196;83_Cloud forest Oscar Marin.csv
Amazilia saucerottei;0.268617021;1.754765351;84_Oscar Marin premontane forest.csv
Amazilia tzacatl;1.713291711;5.554436815;84_Oscar Marin premontane forest.csv
Anthracothorax nigricollis;0.337765957;1.611101764;84_Oscar Marin premontane forest.csv
Chalybura buffonii;0.871049129;5.514549836;84_Oscar Marin premontane forest.csv
Florisuga mellivora;1.798742016;7.076372972;84_Oscar Marin premontane forest.csv
Glaucis hirsutus;1.286296539;5.111420478;84_Oscar Marin premontane forest.csv
Heliomaster longirostris;0.579787234;1;84_Oscar Marin premontane forest.csv
Phaethornis guy;5.871908555;9.667482843;84_Oscar Marin premontane forest.csv
Phaethornis striigularis;3.49166389;5.857191452;84_Oscar Marin premontane forest.csv
Thalurania colombica;0.780877949;4.32539161;84_Oscar Marin premontane forest.csv
Anthracothorax nigricollis;0.344875539;2.749459274;85_najara_rech.csv
Augastes scutatus;32.12517646;15.50997522;85_najara_rech.csv
Calliphlox amethystina;1.367130821;2.957800445;85_najara_rech.csv
Campylopterus largipennis;1.274095812;5.117320321;85_najara_rech.csv
Chlorostilbon lucidus;2.222867818;4.792639144;85_najara_rech.csv
Colibri serrirostris;1.441332204;5.704267556;85_najara_rech.csv
Eupetomena macroura;2.590418101;4.557456465;85_najara_rech.csv
Phaethornis pretrei;8.214713777;9.699508359;85_najara_rech.csv
Thalurania furcata;0.41938947;4.952890873;85_najara_rech.csv
Amazilia fimbriata;6.677109984;14.17409987;86_Edvaldo.csv
Amazilia versicolor;2.624774509;10.89512147;86_Edvaldo.csv
Amazilia lactea;0.056954669;1.754765351;86_Edvaldo.csv
Aphantochroa cirrochloris;0.031766356;1.649384888;86_Edvaldo.csv
Anthracothorax nigricollis;0.088235294;1;86_Edvaldo.csv
Chlorostilbon lucidus;3.72910858;12.66760225;86_Edvaldo.csv
Colibri serrirostris;0.161764706;1;86_Edvaldo.csv
Calliphlox amethystina;0.285290148;2.021507112;86_Edvaldo.csv
Eupetomena macroura;1.440368142;7.458444758;86_Edvaldo.csv
Florisuga fusca;0.970859176;4.661301211;86_Edvaldo.csv
Hylocharis chrysura;0.832428291;8.90787822;86_Edvaldo.csv
Heliomaster squamosus;0.022058824;2;86_Edvaldo.csv
Leucochloris albicollis;0.090669367;2.567790162;86_Edvaldo.csv
Phaethornis pretrei;5.062613582;11.70997408;86_Edvaldo.csv
Polytmus guainumbi;0.046653144;1.960131704;86_Edvaldo.csv
Thalurania glaucopis;0.879345228;5.233112584;86_Edvaldo.csv
Amazilia candida;5.170663166;1.868517581;87_El Triunfo low.csv
Amazilia rutila;0.157173574;1.974638582;87_El Triunfo low.csv
Anthracothorax prevostii;0.802395534;2.229016852;87_El Triunfo low.csv
Heliomaster constantii;0.969309156;1.977792665;87_El Triunfo low.csv
Hylocharis eliciae;0.073510773;1;87_El Triunfo low.csv
Amazilia beryllina;10.8269478;2.497604637;87_El Triunfo low.csv
Abeillia abeillei;2.3;2.704517796;88_El Triunfo middle.csv
Amazilia candida;1.315495579;1.875564838;88_El Triunfo middle.csv
Amazilia rutila;0.022801303;1;88_El Triunfo middle.csv
Atthis ellioti;0.563636364;1.889881575;88_El Triunfo middle.csv
Campylopterus hemileucurus;3.888751463;6.529438522;88_El Triunfo middle.csv
Campylopterus rufus;1.309281129;3.441045183;88_El Triunfo middle.csv
Heliomaster constantii;1;1;88_El Triunfo middle.csv
Lampornis viridipallens;4.198109998;3.907094951;88_El Triunfo middle.csv
Amazilia beryllina;13.0343566;3.629880685;88_El Triunfo middle.csv
Tilmatura dupontii;0.367567568;1.991741215;88_El Triunfo middle.csv
Abeillia abeillei;0.01744186;1;89_El Triunfo high.csv
Atthis ellioti;0.018987342;1;89_El Triunfo high.csv
Campylopterus hemileucurus;3.480620155;1.705393398;89_El Triunfo high.csv
Campylopterus rufus;0.13372093;1;89_El Triunfo high.csv
Lampornis amethystinus;0.066889632;1;89_El Triunfo high.csv
Lampornis viridipallens;18.58454182;7.102486292;89_El Triunfo high.csv
Lamprolaima rhami;2.106700952;1.598428772;89_El Triunfo high.csv
Amazilia beryllina;0.547619048;2;89_El Triunfo high.csv
Tilmatura dupontii;0.043478261;1;89_El Triunfo high.csv
Basilinna leucotis;2.808064516;3.620710823;90_Huitepec.csv
Lampornis amethystinus;1.416935484;2.222250551;90_Huitepec.csv
Lamprolaima rhami;1.175;1.926070224;90_Huitepec.csv
Eugenes fulgens;1.6;1.417411181;90_Huitepec.csv
Phaethornis ruber;6.004904306;7.040956997;91_Buzato_caragua.csv
Phaethornis eurynome;1.333333333;1.889881575;91_Buzato_caragua.csv
Ramphodon naevius;23.8966926;24.61538122;91_Buzato_caragua.csv
Amazilia fimbriata;1.867079463;3.400996028;91_Buzato_caragua.csv
Anthracothorax nigricollis;0.177777778;1;91_Buzato_caragua.csv
Aphantochroa cirrochloris;0.044444444;1;91_Buzato_caragua.csv
Hylocharis cyanus;1.247712418;3.789291416;91_Buzato_caragua.csv
Lophornis chalybeus;1.022222222;2;91_Buzato_caragua.csv
Florisuga fusca;0.480555556;1.250718362;91_Buzato_caragua.csv
Thalurania glaucopis;3.880833434;8.107635151;91_Buzato_caragua.csv
Eupetomena macroura;0.044444444;1;91_Buzato_caragua.csv
Phaethornis eurynome;14.41192223;19.43836044;92_Buzato_cunha.csv
Calliphlox amethystina;0.181818182;1;92_Buzato_cunha.csv
Clytolaema rubricauda;3.617374093;4.909502249;92_Buzato_cunha.csv
Leucochloris albicollis;6.250679804;12.89065304;92_Buzato_cunha.csv
Thalurania furcata;0.238138138;3;92_Buzato_cunha.csv
Stephanoxis lalandi;5.300067548;7.227180017;92_Buzato_cunha.csv
Amazilia fimbriata;1;1;92_Buzato_cunha.csv
